Landsting;n_patienter_2013;n_patienter_2016;AgeGroup
Blekinge;116;138;20-29
Dalarna;188;228;20-29
Gotland;36;55;20-29
Gävleborg;239;261;20-29
Halland;209;290;20-29
Jämtland;75;96;20-29
Jönköping;254;317;20-29
Kalmar;187;207;20-29
Kronoberg;193;197;20-29
Norrbotten;180;178;20-29
Riket;6905;8101;20-29
Skåne;804;1032;20-29
Stockholm;1181;1356;20-29
Sörmland;201;242;20-29
Uppsala;348;342;20-29
Värmland;239;242;20-29
Västerbotten;237;280;20-29
Västernorrland;154;162;20-29
Västmanland;168;219;20-29
Västra Götaland;1313;1584;20-29
Örebro;237;289;20-29
Östergötland;463;523;20-29
Blekinge;95;113;30-39
Dalarna;179;223;30-39
Gotland;40;53;30-39
Gävleborg;187;171;30-39
Halland;183;208;30-39
Jämtland;68;79;30-39
Jönköping;248;254;30-39
Kalmar;144;162;30-39
Kronoberg;160;163;30-39
Norrbotten;116;139;30-39
Riket;6244;6998;30-39
Skåne;723;941;30-39
Stockholm;1263;1419;30-39
Sörmland;190;181;30-39
Uppsala;236;266;30-39
Värmland;174;185;30-39
Västerbotten;205;219;30-39
Västernorrland;153;153;30-39
Västmanland;143;196;30-39
Västra Götaland;1191;1301;30-39
Örebro;225;257;30-39
Östergötland;347;365;30-39
Blekinge;146;167;40-49
Dalarna;222;243;40-49
Gotland;34;46;40-49
Gävleborg;217;208;40-49
Halland;248;271;40-49
Jämtland;84;77;40-49
Jönköping;319;358;40-49
Kalmar;167;166;40-49
Kronoberg;176;174;40-49
Norrbotten;121;148;40-49
Riket;7500;7895;40-49
Skåne;846;967;40-49
Stockholm;1350;1485;40-49
Sörmland;255;238;40-49
Uppsala;291;271;40-49
Värmland;268;264;40-49
Västerbotten;201;198;40-49
Västernorrland;186;182;40-49
Västmanland;233;239;40-49
Västra Götaland;1423;1507;40-49
Örebro;305;279;40-49
Östergötland;419;428;40-49
Blekinge;121;172;50-59
Dalarna;241;244;50-59
Gotland;44;61;50-59
Gävleborg;210;206;50-59
Halland;187;240;50-59
Jämtland;98;98;50-59
Jönköping;276;349;50-59
Kalmar;182;196;50-59
Kronoberg;173;183;50-59
Norrbotten;149;168;50-59
Riket;6664;7776;50-59
Skåne;710;919;50-59
Stockholm;1147;1373;50-59
Sörmland;252;243;50-59
Uppsala;268;279;50-59
Värmland;208;248;50-59
Västerbotten;203;226;50-59
Västernorrland;163;193;50-59
Västmanland;200;274;50-59
Västra Götaland;1203;1455;50-59
Örebro;251;273;50-59
Östergötland;382;395;50-59
Blekinge;257;309;60+
Dalarna;314;463;60+
Gotland;94;119;60+
Gävleborg;300;329;60+
Halland;267;361;60+
Jämtland;145;167;60+
Jönköping;306;390;60+
Kalmar;203;255;60+
Kronoberg;290;338;60+
Norrbotten;170;231;60+
Riket;9375;11555;60+
Skåne;1132;1451;60+
Stockholm;1554;1837;60+
Sörmland;286;345;60+
Uppsala;406;450;60+
Värmland;317;368;60+
Västerbotten;231;287;60+
Västernorrland;248;298;60+
Västmanland;271;377;60+
Västra Götaland;1683;2163;60+
Örebro;416;457;60+
Östergötland;497;577;60+
