CountyName;Landsting
Stockholm;Stockholms län 
Uppsala;Uppsalas län 
Sörmland;Södermanlands län 
Östergötland;Östergötlands län 
Jönköping;Jönköpings län 
Kronoberg;Kronobergs län 
Kalmar;Kalmars län 
Gotland;Region Gotland 
Blekinge;Blekinge län 
Skåne;Region Skåne 
Halland;Region Halland 
Västra Götaland;Västra Götalands region 
Värmland;Värmlands län 
Örebro;Örebros län 
Västmanland;Västmanlands län 
Dalarna;Dalarnas län 
Gävleborg;Gävleborgs län 
Västernorrland;Västernorrlands län 
Jämtland;Jämtlands län 
Västerbotten;Västerbottens län 
Norrbotten;Norrbotten 
