Timestamp;RegistreradePatienter;diabetologer100;diabetologer99;diabetologer79;diabetologer49;diabetologer29;antalhÌÐvertid;antalPatienterAnsvar_clean;antalPatienterCGM_clean;antalPatienterFGM_clean;antalPatienterInsulinpump_clean
2017/09/19 9:31:51 PM GMT+2;600;;;2;1;2;105;250;150;300;120
2017/09/20 5:37:48 AM GMT+2;462;2;;;;;120;150;21;267;58
2017/09/20 8:43:55 AM GMT+2;304;2;;;;;40;304;51;161;67
2017/09/20 9:54:01 AM GMT+2;176;1;;;;;40;176;1;80;33
2017/09/20 11:33:31 AM GMT+2;290;;;;2;;96;130;35;125;70
2017/09/20 2:03:59 PM GMT+2;220;1;;;;;60;160;25;95;52
2017/09/20 2:50:04 PM GMT+2;218;1;;1;;;80;200;10;168;98
2017/09/20 6:16:56 PM GMT+2;1400;4;;;3;3;200;240;70;700;462
2017/09/22 2:06:00 PM GMT+2;1000;2;2;;;1;40;350;200;500;400
2017/09/22 2:28:02 PM GMT+2;1640;;;;;;200;360;50;800;375
2017/09/22 5:07:41 PM GMT+2;241;3;;;;;;498;40;168;42
2017/09/25 8:12:47 AM GMT+2;230;1;;;;;35;200;25;75;55
2017/09/25 9:15:38 AM GMT+2;1200;7;;;;;190;300;;;240
2017/09/25 10:55:48 AM GMT+2;1220;3;;;;2;212;350;353;264;332
2017/09/25 10:58:36 AM GMT+2;557;3;;2;;1;160;140;32;307;148
2017/09/25 1:48:36 PM GMT+2;437;1;;;;;80;145;42;274;112
2017/09/25 4:23:16 PM GMT+2;828;;;;2;6;175;;65;600;150
2017/09/25 4:45:10 PM GMT+2;870;1;2;1;1;2;150;280;30;225;168
2017/09/26 1:51:53 PM GMT+2;727;1;2;1;;;154;220;350;75;170
2017/09/26 3:27:36 PM GMT+2;2100;;;8;;3;150;375;200;600;400
2017/09/26 4:09:09 PM GMT+2;350;;;1;;2;77;200;45;140;100
2017/09/27 8:11:32 AM GMT+2;250;;;;;;100;120;38;200;75
2017/09/28 10:32:48 AM GMT+2;800;;2;3;1;1;120;350;88;356;186
2017/09/29 11:25:41 AM GMT+2;250;;;;4;;80;200;39;108;32
2017/10/02 11:38:32 AM GMT+2;900;1;;3;;;150;250;130;420;260
2017/10/03 9:55:02 AM GMT+2;125;;;;;2;30;125;7;86;18
2017/10/03 12:58:19 PM GMT+2;280;;;1;;2;;200;84;112;59
2017/10/03 1:33:30 PM GMT+2;1200;1;;5;;6;6;300;50;377;160
2017/10/03 3:54:46 PM GMT+2;454;;;;3;;100;200;33;250;
2017/10/04 7:10:17 AM GMT+2;600;1;;;;;112;200;56;520;150
2017/10/04 9:52:40 AM GMT+2;100;;;;;;60;75;2;46;32
